rm_id,product_id,product_version,raw_material_alloy,raw_material_format_type,stock_location
369,91900146,4.0,600540 CPS,24.0,DELETED_28.02:2011_SA 300370
374,91900296,1.0,SB07 Lacado,2.0,DELETED_28.02:2011_SB06 anodiz
375,91900302,1.0,606035 CPS Lacado,24.0,DELETED_28.02:2011_ST05A
375,91900302,4.0,606035 CPS Lacado,24.0,DELETED_28.02:2011_ST05A
375,91900302,6.0,606035 CPS Lacado,24.0,DELETED_28.02:2011_TYB Lacado
378,91900302,2.0,SA22 606035 Lacado,3.0,DELETED_28.02:2011_ST05A
379,91900296,2.0,6063 Trader Lacado,24.0,DELETED_28.02:2011_SB08 lacad
379,91900296,5.0,6063 Trader Lacado,24.0,DELETED_28.02:2011_SB07 lacad
380,1177,1.0,AAS1 Si 100%,12.0,AASI100
381,1608,1.0,AAMg 100%,12.0,AAMG
381,1608,2.0,AAMg 100%,12.0,AA02
383,1002,1.0,AAMn 80%,19.0,AAMN
383,1002,2.0,AAMn 80%,19.0,AAMN
386,1807,1.0,AATi-Bors,15.0,AATI
386,1807,2.0,AATi-Bors,7.0,AATI
386,1807,4.0,AATi-Bors,7.0,AA00
387,1307,1.0,AACU 100%,21.0,AACU
388,91900330,2.0,CPS 6060 Anodizado,3.0,DELETED_28.02:2011_SA13 6035
388,91900330,6.0,CPS 6060 Anodizado,24.0,DELETED_28.02:2011_SA13 6035
389,91900330,1.0,CPS 6060 Anodizado,24.0,DELETED_28.02:2011_SB03 900107
389,91900330,3.0,CPS 6060 Anodizado,24.0,DELETED_28.02:2011_SA13 6035
389,91900330,5.0,CPS 6060 Anodizado,24.0,DELETED_07.02:2020_SB 10
390,91900330,2.0,SA23 anodizado,3.0,DELETED_28.02:2011_SA13 6035
1842,91900296,3.0,CS606300LA,2.0,SB 16
1843,91900170,3.0,CS606300AN,2.0,SB 13
1844,91900182,2.0,"CS Al 99,5%",21.0,DELETED_28.02:2011_SA50
1845,91900152,1.0,"PM Al 99,7%",14.0,DELETED_28.02:2011_ST04
1845,91900152,2.0,"PM Al 99,7%",14.0,SA 00
1846,91900152,2.0,"PM Al 99,7%",12.0,SA 00
1850,91900146,2.0,PS600500CL,35.0,SA 61
1851,91900146,2.0,PS600500CL,24.0,SA 55
1852,91900146,2.0,PS600500CL,36.0,SB 09
1853,91900143,2.0,PS606000CL,35.0,SA 55
1854,91900143,2.0,PS606000CL,36.0,SB 04
1857,91900160,3.0,PS608200CL,35.0,SA 62
1858,91900160,2.0,PS608200CL,36.0,SB 21
1866,91900302,4.0,PS606000LA,35.0,SA 51
1867,91900330,4.0,PS606000AN,35.0,SB 19
1868,91900330,4.0,PS606000AN,36.0,SB 19
1871,1177,2.0,AE Si 100%,20.0,AA01
1872,1687,2.0,AE Cr 75%,19.0,AA05
1873,1307,2.0,AE Cu 100%,19.0,AA04
1874,1414,2.0,AE Fe 80%,19.0,DELETED_31.05:2017_AA06
1875,1608,2.0,AE Mg 100%,12.0,AA02
1876,1160,2.0,AE Mn 80%,19.0,AA03
1882,91900143,3.0,PS606034CL Alto CuMn,24.0,SB 04
1901,91900302,1.0,IN CPS Prof 6060 Painted,24.0,SA 51
1901,91900302,2.0,IN CPS Prof 6060 Painted,24.0,SA 51
1902,91900146,1.0,IN CPS Prof 6005,24.0,SA 55
1903,91900143,1.0,IN CPS Prof 6060,24.0,SB 02
1904,91900330,1.0,IN CPS Prof 6060 Anodized,24.0,DELETED_28.02:2011_SB05
1904,91900330,2.0,IN CPS Prof 6060 Anodized,24.0,SB 01
1905,91900160,1.0,IN CPS Prof 6082,24.0,SA 56
1906,91900170,1.0,IN CS Prof 6060-6063,24.0,DELETED_28.02:2011_SB05
1907,91900296,1.0,IN CS Prof 6060-6063 Painted,24.0,SB 07
1908,91900182,1.0,"IN CSPA Wire 99,5",21.0,DELETED_28.02:2011_SA50
1908,91900182,2.0,"IN CSPA Wire 99,5",29.0,SA 56
1909,91900152,1.0,"IN PM 99,7 Al",12.0,SA 00
1981,91900871,1.0,IN CPS Prof 6060 Thermal Break,24.0,Temporal (Vaciar)
1982,91900871,1.0,IN CPS Prof 6060 Thermal Break,35.0,Temporal (Vaciar)
2001,91900871,1.0,PS606000PT,24.0,Temporal (Vaciar)
2061,91901250,1.0,CS 6005 anodized,36.0,SB 12
2102,91900302,1.0,PS606000LA,36.0,SB 17
2121,1687,5.0,Cr 75%,19.0,AA05
2121,1687,6.0,Cr 75%,19.0,AA05
2121,1687,13.0,Cr 75%,19.0,AA05
2121,1687,15.0,Cr 75%,19.0,AA05
2122,1414,5.0,Fe 80%,19.0,DELETED_31.05:2017_AA06
2122,1414,6.0,Fe 80%,19.0,DELETED_31.05:2017_AA06
2123,1177,1.0,Si 100%,16.0,AA01
2123,1177,5.0,Si 100%,16.0,AA01
2123,1177,6.0,Si 100%,16.0,AA01
2123,1177,8.0,Si 100%,16.0,AA01
2123,1177,10.0,Si 100%,16.0,AA01
2123,1177,12.0,Si 100%,16.0,AA01
2123,1177,13.0,Si 100%,16.0,AA01
2123,1177,14.0,Si 100%,16.0,AA01
2123,1177,15.0,Si 100%,16.0,AA01
2123,1177,16.0,Si 100%,16.0,AA01
2123,1177,20.0,Si 100%,16.0,AA01
2123,1177,21.0,Si 100%,16.0,AA01
2123,1177,24.0,Si 100%,16.0,AA01
2123,1177,27.0,Si 100%,16.0,AA01
2124,1160,1.0,Mn 80%,19.0,AA03
2124,1160,5.0,Mn 80%,19.0,AA03
2124,1160,6.0,Mn 80%,19.0,AA03
2124,1160,7.0,Mn 80%,19.0,AA03
2124,1160,8.0,Mn 80%,19.0,AA03
2124,1160,10.0,Mn 80%,19.0,AA03
2124,1160,12.0,Mn 80%,19.0,AA03
2124,1160,13.0,Mn 80%,19.0,AA03
2124,1160,14.0,Mn 80%,19.0,AA03
2124,1160,16.0,Mn 80%,19.0,AA03
2124,1160,20.0,Mn 80%,19.0,AA03
2124,1160,22.0,Mn 80%,19.0,AA03
2124,1160,24.0,Mn 80%,19.0,AA03
2124,1160,25.0,Mn 80%,19.0,AA03
2124,1160,26.0,Mn 80%,19.0,AA03
2125,1034,1.0,Mg 100%,12.0,AA02
2125,1034,5.0,Mg 100%,12.0,AA02
2125,1034,6.0,Mg 100%,12.0,AA02
2125,1034,7.0,Mg 100%,12.0,AA02
2125,1034,8.0,Mg 100%,12.0,AA02
2125,1034,10.0,Mg 100%,12.0,AA02
2125,1034,12.0,Mg 100%,12.0,AA02
2125,1034,13.0,Mg 100%,12.0,AA02
2125,1034,14.0,Mg 100%,12.0,AA02
2125,1034,15.0,Mg 100%,12.0,AA02
2125,1034,16.0,Mg 100%,12.0,AA02
2125,1034,19.0,Mg 100%,12.0,AA02
2125,1034,20.0,Mg 100%,12.0,AA02
2125,1034,21.0,Mg 100%,12.0,AA02
2125,1034,25.0,Mg 100%,12.0,AA02
2125,1034,27.0,Mg 100%,12.0,AA02
2125,1034,28.0,Mg 100%,12.0,AA02
2127,1807,1.0,Ti-Bors,7.0,AA00
2127,1807,5.0,Ti-Bors,7.0,AA00
2127,1807,6.0,Ti-Bors,7.0,AA00
2128,91900152,6.0,"PM 99,7",41.0,SA 00
2129,91900472,4.0,Al wheels:  Si 7 - 12 %,33.0,SB 08
2129,91900472,5.0,Al wheels:  Si 7 - 12 %,33.0,SB 08
2129,91900472,6.0,Al wheels:  Si 7 - 12 %,33.0,SB 10 B
2129,91900472,7.0,Al wheels:  Si 7 - 12 %,33.0,SB 18
2129,91900472,9.0,Al wheels:  Si 7 - 12 %,33.0,SB 10
2129,91900472,10.0,Al wheels:  Si 7 - 12 %,33.0,SB 10
2129,91900472,11.0,Al wheels:  Si 7 - 12 %,33.0,SB 10
2129,91900472,13.0,Al wheels:  Si 7 - 12 %,33.0,SB 10
2129,91900472,17.0,Al wheels:  Si 7 - 12 %,33.0,SB 10
2129,91900472,18.0,Al wheels:  Si 7 - 12 %,33.0,SB 10
2129,91900472,19.0,Al wheels:  Si 7 - 12 %,33.0,SB 10
2129,91900472,21.0,Al wheels:  Si 7 - 12 %,33.0,SB 10
2129,91900472,22.0,Al wheels:  Si 7 - 12 %,33.0,SB 10
2129,91900472,24.0,Al wheels:  Si 7 - 12 %,33.0,SB 10
2129,91900472,25.0,Al wheels:  Si 7 - 12 %,33.0,SB 10
2129,91900472,26.0,Al wheels:  Si 7 - 12 %,33.0,SB 10
2129,91900472,31.0,Al wheels:  Si 7 - 12 %,33.0,SB 10
2129,91900472,32.0,Al wheels:  Si 7 - 12 %,33.0,SB 10
2129,91900472,33.0,Al wheels:  Si 7 - 12 %,33.0,SB 10
2129,91900472,34.0,Al wheels:  Si 7 - 12 %,33.0,SB 10
2129,91900472,35.0,Al wheels:  Si 7 - 12 %,33.0,SB 10
2129,91900472,37.0,Al wheels:  Si 7 - 12 %,33.0,SB 10
2129,91900472,41.0,Llantas,33.0,SB 10
2129,91900472,44.0,Llantas,33.0,SB 10
2129,91900472,45.0,Llantas,33.0,SB 10
2129,91900472,50.0,Llantas,33.0,SB 10
2129,91900472,53.0,Llantas,33.0,SB 10
2129,91900472,57.0,Llantas,33.0,SB 10
2129,91900472,58.0,Llantas,33.0,SB 10
2129,91900472,63.0,Llantas,33.0,SB 10
2130,91900143,1.0,CPS Prof 6060,36.0,SB 02
2130,91900143,3.0,CPS Prof 6060,36.0,SB 03
2130,91900143,4.0,CPS Prof 6060,36.0,SB 08
2130,91900143,5.0,CPS Prof 6060,36.0,SB 01
2130,91900143,6.0,CPS Prof 6060,36.0,SB 04
2130,91900143,7.0,CPS Prof 6060,36.0,SB 01
2130,91900143,8.0,CPS Prof 6060,36.0,SB 06
2130,91900143,9.0,CPS Prof 6060,36.0,SB 06
2130,91900143,10.0,CPS Prof 6060,36.0,SB 04
2130,91900143,12.0,CPS Prof 6060,36.0,SB 01
2130,91900143,13.0,CPS Prof 6060,36.0,SB 01
2130,91900143,14.0,CPS Prof 6060,36.0,SB 02
2130,91900143,15.0,CPS Prof 6060,36.0,SB 08
2130,91900143,17.0,CPS Prof 6060,36.0,SB 05
2130,91900143,18.0,CPS Prof 6060,36.0,SB 05
2130,91900143,19.0,CPS Prof 6060,36.0,SB 08
2130,91900143,21.0,CPS Prof 6060,36.0,SB 08
2130,91900143,22.0,CPS Prof 6060,36.0,SB 08
2130,91900143,23.0,CPS Prof 6060,36.0,SB 08
2130,91900143,24.0,CPS Prof 6060,36.0,SB 02
2130,91900143,32.0,CPS Prof 6060,36.0,SB 02
2130,91900143,33.0,CPS Prof 6060,36.0,SB 03
2130,91900143,34.0,CPS Prof 6060,36.0,SB 07
2130,91900143,35.0,CPS Prof 6060,36.0,SB 02
2130,91900143,37.0,CPS Prof 6060,36.0,SB 05
2130,91900143,38.0,CPS Prof 6060,36.0,SB 05
2130,91900143,41.0,CPS Prof 6060,36.0,SB 04
2130,91900143,42.0,CPS Prof 6060,36.0,SB 04
2130,91900143,44.0,CPS Prof 6060,36.0,SB 06
2130,91900143,45.0,CPS Prof 6060,36.0,SB 06
2130,91900143,46.0,CPS Prof 6060,36.0,SB 05
2130,91900143,47.0,CPS Prof 6060,36.0,SB 05
2130,91900143,50.0,CPS Prof 6060,36.0,SB 06
2130,91900143,54.0,CPS Prof 6060,36.0,SB 06
2130,91900143,55.0,CPS Prof 6060,36.0,SB 06
2130,91900143,56.0,CPS Prof 6060,36.0,SB 06
2130,91900143,57.0,CPS Prof 6060,36.0,SB 06
2130,91900143,59.0,CPS 6060,36.0,SB 07
2130,91900143,60.0,CPS 6060,36.0,SB 07
2130,91900143,61.0,CPS 6060,36.0,SB 07
2130,91900143,63.0,CPS 6060,36.0,SB 07
2130,91900143,64.0,CPS 6060,36.0,SB 07
2130,91900143,65.0,CPS 6060,36.0,SB 07
2130,91900143,66.0,CPS 6060,36.0,SB 08
2130,91900143,68.0,CPS 6060,36.0,SB 07
2131,91900302,2.0,CPS Prof 6060 Lacado,36.0,SB 18
2131,91900302,6.0,CPS Prof 6060 Lacado,36.0,SB 16
2131,91900302,7.0,CPS Prof 6060 Lacado,36.0,SB 18
2131,91900302,8.0,CPS Prof 6060 Lacado,36.0,SB 18
2131,91900302,9.0,CPS Prof 6060 Lacado,36.0,SB 18
2131,91900302,10.0,CPS Prof 6060 Lacado,36.0,SB 11
2131,91900302,11.0,CPS Prof 6060 Lacado,36.0,SB 12
2131,91900302,13.0,CPS Prof 6060 Lacado,36.0,SB 12
2131,91900302,14.0,CPS Prof 6060 Lacado,36.0,SB 12
2131,91900302,16.0,CPS Prof 6060 Lacado,36.0,SB 12
2131,91900302,17.0,CPS Prof 6060 Lacado,36.0,SB 12
2131,91900302,18.0,CPS Prof 6060 Lacado,36.0,SB 11
2131,91900302,20.0,CPS Prof 6060 Lacado,36.0,SB 12
2131,91900302,21.0,CPS Prof 6060 Lacado,36.0,SB 11
2131,91900302,22.0,CPS Prof 6060 Lacado,36.0,SB 12
2131,91900302,24.0,CPS Prof 6060 Lacado,36.0,SB 12
2131,91900302,25.0,CPS Prof 6060 Lacado,36.0,SB 12
2131,91900302,26.0,CPS Prof 6060 Lacado,36.0,SA 54 B
2131,91900302,27.0,CPS Prof 6060 Lacado,36.0,SA 54 B
2131,91900302,28.0,CPS Prof 6060 Lacado,36.0,SB 12
2131,91900302,29.0,CPS Prof 6060 Lacado,36.0,SB 12
2131,91900302,31.0,CPS 6060 (lacado),36.0,SB 12
2131,91900302,32.0,CPS 6060 (lacado),36.0,SB 12
2131,91900302,34.0,CPS 6060 (lacado),36.0,SB 12 A
2131,91900302,36.0,CPS 6060 (lacado),36.0,SB 12
2131,91900302,37.0,CPS 6060 (lacado),36.0,SB 12
2131,91900302,38.0,CPS 6060 (lacado),36.0,SB 12
2131,91900302,39.0,CPS 6060 (lacado),36.0,SB 11
2131,91900302,40.0,CPS 6060 (lacado),36.0,SB 11
2132,91900330,2.0,CPS Prof 6060 Anodized,36.0,SB 19
2132,91900330,5.0,CPS Prof 6060 Anodized,36.0,SB 14
2132,91900330,6.0,CPS Prof 6060 Anodized,36.0,SB 16
2132,91900330,7.0,CPS Prof 6060 Anodized,36.0,SB 14
2132,91900330,8.0,CPS Prof 6060 Anodized,36.0,SB 14
2132,91900330,10.0,CPS Prof 6060 Anodized,36.0,SB 14
2132,91900330,12.0,CPS Prof 6060 Anodized,36.0,SA 56
2132,91900330,13.0,CPS Prof 6060 Anodized,36.0,SB 15
2132,91900330,14.0,CPS Prof 6060 Anodized,36.0,SB 15
2132,91900330,16.0,CPS Prof 6060 Anodized,36.0,SB 15
2132,91900330,17.0,CPS Prof 6060 Anodized,36.0,SB 15
2132,91900330,18.0,CPS Prof 6060 Anodized,36.0,SA 56
2132,91900330,20.0,CPS Prof 6060 Anodized,36.0,SB 15
2132,91900330,21.0,CPS Prof 6060 Anodized,36.0,SB 15
2132,91900330,22.0,CPS Prof 6060 Anodized,36.0,SB 15
2132,91900330,23.0,CPS Prof 6060 Anodized,36.0,SB 15
2132,91900330,24.0,CPS Prof 6060 Anodized,36.0,SB 15
2132,91900330,26.0,CPS Prof 6060 Anodized,36.0,SB 15
2132,91900330,28.0,CPS Prof 6060 Anodized,36.0,SB 15
2132,91900330,29.0,CPS Prof 6060 Anodized,36.0,SB 15
2132,91900330,30.0,CPS Prof 6060 Anodized,36.0,SB 15
2132,91900330,32.0,CPS 6060 (anodizado),36.0,SB 15
2132,91900330,33.0,CPS 6060 (anodizado),36.0,SB 15
2132,91900330,34.0,CPS 6060 (anodizado),36.0,SB 15
2132,91900330,36.0,CPS 6060 (anodizado),36.0,SB 15
2132,91900330,37.0,CPS 6060 (anodizado),36.0,SB 15
2132,91900330,38.0,CPS 6060 (anodizado),36.0,SB 11
2132,91900330,39.0,CPS 6060 (anodizado),36.0,SB 12
2132,91900330,40.0,CPS 6060 (anodizado),36.0,SB 12
2132,91900330,41.0,CPS 6060 (anodizado),36.0,SB 12
2133,91900871,1.0,CPS Prof 6060 Thermal Break,36.0,Temporal (Vaciar)
2133,91900871,4.0,CPS Prof 6060 Thermal Break,36.0,DELETED_07.02:2020_SB 10
2133,91900871,6.0,CPS Prof 6060 Thermal Break,36.0,SA 51
2133,91900871,7.0,CPS Prof 6060 Thermal Break,36.0,SB Thermal Break
2133,91900871,8.0,CPS Prof 6060 Thermal Break,36.0,SB Thermal Break
2133,91900871,9.0,CPS Prof 6060 Thermal Break,36.0,SB Thermal Break
2133,91900871,10.0,CPS Prof 6060 Thermal Break,36.0,SB Thermal Break
2133,91900871,12.0,CPS Prof 6060 Thermal Break,36.0,SB Thermal Break
2133,91900871,13.0,CPS Prof 6060 Thermal Break,36.0,SB Thermal Break
2133,91900871,14.0,CPS Prof 6060 Thermal Break,36.0,SB Thermal Break
2133,91900871,15.0,CPS Prof 6060 Thermal Break,36.0,SB Thermal Break
2133,91900871,16.0,CPS Prof 6060 Thermal Break,36.0,SB Thermal Break
2133,91900871,17.0,CPS Prof 6060 Thermal Break,36.0,SB Thermal Break
2133,91900871,18.0,CPS Prof 6060 Thermal Break,36.0,SB Thermal Break
2133,91900871,19.0,CPS Prof 6060 Thermal Break,36.0,VIRT-SAU-Proc-PT
2133,91900871,20.0,CPS Prof 6060 Thermal Break,36.0,SB Thermal Break
2133,91900871,21.0,CPS Prof 6060 Thermal Break,36.0,SB Thermal Break
2133,91900871,24.0,CPS Prof 6060 Thermal Break,36.0,SB Puente térmico
2133,91900871,26.0,CPS Prof 6060 Thermal Break,36.0,SB PT
2133,91900871,29.0,CPS Prof 6060 Thermal Break,36.0,SB PT
2133,91900871,30.0,CPS Prof 6060 Thermal Break,36.0,SA 54 A
2133,91900871,31.0,CPS Prof 6060 Thermal Break,36.0,SA 54 A
2133,91900871,32.0,CPS Prof 6060 Thermal Break,36.0,SA 54 A
2133,91900871,33.0,CPS Prof 6060 Thermal Break,36.0,SA 54 A
2133,91900871,35.0,CPS 6060 (puente térmico),36.0,PT Corto
2133,91900871,36.0,CPS 6060 (puente térmico),36.0,PT Corto
2133,91900871,38.0,CPS 6060 (puente térmico),36.0,PT Corto
2133,91900871,40.0,CPS 6060 (puente térmico),36.0,PT Corto
2133,91900871,41.0,CPS 6060 (puente térmico),36.0,PT Corto
2133,91900871,42.0,CPS 6060 (puente térmico),36.0,SA 09 A
2133,91900871,43.0,CPS 6060 (puente térmico),36.0,SA 09 A
2133,91900871,44.0,CPS 6060 (puente térmico),36.0,SA 09 A
2134,91900146,1.0,CPS Prof 6005,36.0,SB 09
2134,91900146,4.0,CPS Prof 6005,36.0,SB 09
2134,91900146,5.0,CPS Prof 6005,36.0,SB 09
2134,91900146,6.0,CPS Prof 6005,36.0,SB 09
2134,91900146,7.0,CPS Prof 6005,36.0,SB 13
2134,91900146,9.0,CPS Prof 6005,36.0,SB 13
2134,91900146,10.0,CPS Prof 6005,36.0,SB 18
2134,91900146,11.0,CPS Prof 6005,36.0,SB 18
2134,91900146,12.0,CPS Prof 6005,36.0,SB 18
2134,91900146,14.0,CPS Prof 6005,36.0,SB 18
2134,91900146,15.0,CPS Prof 6005,36.0,SB 18
2134,91900146,17.0,CPS Prof 6005,36.0,SB 18
2134,91900146,19.0,CPS Prof 6005,36.0,SB 18
2134,91900146,20.0,CPS Prof 6005,36.0,SB 18
2134,91900146,21.0,CPS Prof 6005,36.0,SB 18
2134,91900146,22.0,CPS Prof 6005,36.0,SB 18
2134,91900146,24.0,CPS Prof 6005,36.0,SB 18
2134,91900146,26.0,CPS Prof 6005,36.0,SB 18
2134,91900146,28.0,CPS Prof 6005,36.0,SB 18
2134,91900146,29.0,CPS Prof 6005,36.0,SB 20
2134,91900146,30.0,CPS Prof 6005,36.0,SB 18
2134,91900146,31.0,CPS Prof 6005,36.0,SB 18
2134,91900146,32.0,CPS Prof 6005,36.0,SB 19
2134,91900146,35.0,CPS Prof 6005,36.0,SB 18
2134,91900146,37.0,CPS Prof 6005,36.0,SB 19
2134,91900146,38.0,CPS Prof 6005,36.0,SB 19
2134,91900146,39.0,CPS Prof 6005,36.0,SB 19
2134,91900146,40.0,CPS Prof 6005,36.0,SB 19
2134,91900146,42.0,CPS 6005,36.0,SB 19
2134,91900146,43.0,CPS 6005,36.0,SB 19
2134,91900146,44.0,CPS 6005,36.0,SB 19
2134,91900146,46.0,CPS 6005,36.0,SB 19
2134,91900146,47.0,CPS 6005,36.0,SB 19
2134,91900146,48.0,CPS 6005,36.0,SB 19
2134,91900146,49.0,CPS 6005,36.0,SB 19
2134,91900146,50.0,CPS 6005,36.0,SB 19
2135,91900160,1.0,CPS Prof 6082,36.0,SB 21
2135,91900160,4.0,CPS Prof 6082,36.0,SB 21
2135,91900160,5.0,CPS Prof 6082,36.0,SB 21
2135,91900160,6.0,CPS Prof 6082,36.0,SA 62
2135,91900160,7.0,CPS Prof 6082,36.0,SB 10
2135,91900160,9.0,CPS Prof 6082,36.0,SB 17
2135,91900160,10.0,CPS Prof 6082,36.0,SA 55
2135,91900160,11.0,CPS Prof 6082,36.0,SA 55
2135,91900160,13.0,CPS Prof 6082,36.0,SA 55
2135,91900160,14.0,CPS Prof 6082,36.0,SA 55
2135,91900160,17.0,CPS Prof 6082,36.0,SB 21
2135,91900160,18.0,CPS Prof 6082,36.0,SA Tren 6082
2135,91900160,20.0,CPS Prof 6082,36.0,SB 21
2135,91900160,23.0,CPS Prof 6082,36.0,SB 21
2135,91900160,25.0,CPS Prof 6082,36.0,SB 21
2135,91900160,27.0,CPS Prof 6082,36.0,SB 21
2135,91900160,28.0,CPS Prof 6082,36.0,SB 21
2135,91900160,29.0,CPS Prof 6082,36.0,SB 21
2135,91900160,32.0,CPS Prof 6082,36.0,SB 21
2135,91900160,33.0,CPS Prof 6082,36.0,SB 21
2135,91900160,34.0,CPS Prof 6082,36.0,SB 21
2135,91900160,35.0,CPS Prof 6082,36.0,SB 21
2135,91900160,37.0,CPS 6082,36.0,SB 21
2135,91900160,38.0,CPS 6082,36.0,SB 21
2135,91900160,39.0,CPS 6082,36.0,SB 21
2135,91900160,41.0,CPS 6082,36.0,SB 21
2135,91900160,42.0,CPS 6082,36.0,SB 21
2135,91900160,43.0,CPS 6082,36.0,SB 21
2135,91900160,44.0,CPS 6082,36.0,SB 21
2135,91900160,46.0,CPS 6082,36.0,SB 21
2138,91900182,1.0,CSPA Wire 99.5,21.0,DELETED_10.09:2015_SA 99.5
2138,91900182,4.0,CSPA Wire 99.5,21.0,SB 08
2138,91900182,5.0,CSPA Wire 99.5,21.0,Temporal (Vaciar)
2138,91900182,6.0,CSPA Wire 99.5,21.0,SB 16
2138,91900182,7.0,CSPA Wire 99.5,21.0,SB 14 B
2138,91900182,8.0,CSPA Wire 99.5,21.0,SB 11 A
2138,91900182,9.0,CSPA Wire 99.5,21.0,SB 11
2138,91900182,10.0,CSPA Wire 99.5,21.0,SB 14
2138,91900182,11.0,CSPA Wire 99.5,21.0,SB 11
2138,91900182,15.0,CSPA Wire 99.5,21.0,SB 11
2138,91900182,16.0,CSPA Wire 99.5,21.0,SB 19
2138,91900182,17.0,CSPA Wire 99.5,21.0,SB 13
2138,91900182,18.0,CSPA Wire 99.5,21.0,SB 13 A
2139,91900182,1.0,CSPA Wire 99.5,3.0,SB 14
2139,91900182,5.0,CSPA Wire 99.5,3.0,SB 11
2140,91900152,2.0,"PM 99,7",12.0,SA 00
2140,91900152,6.0,"PM 99,7",12.0,SA 00
2140,91900152,9.0,"PM 99,7",12.0,SA 00
2140,91900152,10.0,"PM 99,7",12.0,SA 00
2140,91900152,11.0,"PM 99,7",12.0,SA 00
2140,91900152,12.0,"PM 99,7",12.0,SA 00
2140,91900152,13.0,"PM 99,7",12.0,SA 00
2140,91900152,14.0,"PM 99,7",12.0,SA 00
2140,91900152,15.0,"PM 99,7",12.0,SA 00
2140,91900152,16.0,"PM 99,7",12.0,SA 00
2140,91900152,17.0,"PM 99,7",12.0,SA 00
2140,91900152,18.0,"PM 99,7",12.0,SA 00
2140,91900152,19.0,"PM 99,7",12.0,SA 00
2140,91900152,20.0,"PM 99,7",12.0,SA 00
2140,91900152,21.0,"PM 99,7",12.0,SA 00
2140,91900152,23.0,"PM 99,7",12.0,SA 00
2140,91900152,24.0,"PM 99,7",12.0,SA 00
2140,91900152,25.0,"PM 99,7",12.0,SA 00
2140,91900152,28.0,"PM 99,7",12.0,SA 00
2140,91900152,30.0,"PM 99,7",12.0,SA 00
2140,91900152,31.0,"PM 99,7",12.0,SA 00
2140,91900152,32.0,"PM 99,7",12.0,SA-00-LAVADERO
2140,91900152,33.0,"PM 99,7",12.0,SA-00-LAVADERO
2140,91900152,36.0,"PM 99,7",12.0,SA 61
2140,91900152,37.0,"PM 99,7",12.0,SA 00
2140,91900152,39.0,"PM 99,7",12.0,SA 61
2140,91900152,40.0,"PM 99,7",12.0,PM Tren
2140,91900152,44.0,"PM 99,7",12.0,PM Lavadero
2140,91900152,46.0,"PM 99,7",12.0,PM Lavadero
2140,91900152,49.0,"PM 99,7",12.0,PM Tren
2140,91900152,50.0,"PM 99,7",12.0,PM Lavadero
2140,91900152,51.0,"PM 99,7",12.0,PM Lavadero
2141,91900143,2.0,CPS Prof 6060,35.0,SA 51
2142,91900302,2.0,CPS Prof 6060 Lacado,35.0,SB 18
2142,91900302,5.0,CPS Prof 6060 Lacado,35.0,SB 16
2142,91900302,6.0,CPS Prof 6060 Lacado,35.0,SB 18
2142,91900302,7.0,CPS Prof 6060 Lacado,35.0,SA 54
2142,91900302,8.0,CPS Prof 6060 Lacado,35.0,SA 54
